title,artist,top genre,year released,added,dnce,val,dur,pop,artist type
We Found Love,Rihanna,barbadian pop,2011,2020‑06‑22,74,60,215,80,Solo
Where Have You Been,Rihanna,barbadian pop,2011,2020‑06‑22,72,44,243,76,Solo
R.I.P. (feat. Tinie Tempah),Rita Ora,dance pop,2012,2020‑06‑22,61,35,228,52,Solo
Mama Do The Hump,Rizzle Kicks,uk hip hop,2011,2020‑06‑22,72,56,216,61,Duo
Candy,Robbie Williams,dance pop,2012,2020‑06‑22,72,88,201,73,Solo
Feel the Love (feat. John Newman),Rudimental,dance pop,2013,2020‑06‑22,39,24,245,52,Band/Group
Hands on the Wheel (feat. Asap Rocky),ScHoolboy Q,gangster rap,2012,2020‑06‑22,65,18,197,67,Solo
Bangarang (feat. Sirah),Skrillex,brostep,2011,2020‑06‑29,72,58,215,75,Solo
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,g funk,2011,2020‑06‑22,72,53,207,82,Solo
Don't You Worry Child - Radio Edit,Swedish House Mafia,dance pop,2012,2020‑06‑22,61,44,213,81,Band/Group
I Knew You Were Trouble.,Taylor Swift,pop,2012,2020‑06‑22,62,68,220,82,Solo
We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,2020‑06‑22,63,75,193,80,Solo
Ho Hey,The Lumineers,folk-pop,2012,2020‑06‑22,69,35,163,77,Band/Group
Chasing The Sun,The Wanted,boy band,2012,2020‑06‑22,64,68,199,74,Band/Group
Angels,The xx,downtempo,2012,2020‑06‑22,42,34,172,68,Band/Group
Drive By,Train,dance pop,2012,2020‑06‑22,77,72,196,82,Band/Group
50 Ways to Say Goodbye,Train,dance pop,2012,2020‑06‑22,59,74,248,73,Band/Group
